FileName,LOC,#Adds,#Modifies,#Removes,#DeltaOps
RouteDistance.deltaj,59,9,6,0,15
Time.deltaj,47,12,2,0,14
PedestrianRoute.deltaj,7,0,2,0,2
Wikipedia.deltaj,125,17,2,0,19
H24.deltaj,7,0,2,0,2
HistoryRouting.deltaj,55,2,4,0,6
TravelTimeInfo.deltaj,13,0,2,0,2
Poi.deltaj,202,16,2,0,18
CarPool.deltaj,498,42,2,0,44
SpeedlimitUK.deltaj,37,0,2,0,2
DepartureTime.deltaj,63,5,2,0,7
ArrivalTime.deltaj,60,2,2,0,4
History.deltaj,213,30,2,0,32
ttsNavi.deltaj,32,1,3,0,4
Navigation.deltaj,312,18,3,0,21
Rotation.deltaj,202,17,6,0,23
Suggestions.deltaj,169,22,2,0,24
tts.deltaj,14,4,2,0,6
DepartureArrivalTimeHelper.deltaj,41,6,2,0,8
FavoriteRoute.deltaj,58,1,6,0,7
RouteDistanceMile.deltaj,13,0,2,0,2
RotationNavi.deltaj,43,2,3,0,5
SuggestionsHistory.deltaj,35,1,2,0,3
Taxi.deltaj,41,11,2,0,13
Localization.deltaj,92,5,2,0,7
SuggestionsFavorites.deltaj,36,4,2,0,6
TimeInfo.deltaj,13,0,2,0,2
WeatherInfo.deltaj,13,0,2,0,2
RouteDistanceInfo.deltaj,13,0,2,0,2
Information.deltaj,47,2,2,0,4
Routing.deltaj,381,33,2,0,35
Weather.deltaj,56,13,2,0,15
H12.deltaj,7,0,2,0,2
TimeRemainingInfo.deltaj,13,0,2,0,2
Favorite.deltaj,320,5,2,0,7
TimeRemaining.deltaj,125,9,4,0,13
Wind.deltaj,14,2,3,0,5
POIphoto.deltaj,72,7,2,0,9
RouteDistanceRemaining.deltaj,14,0,3,0,3
SpeedlimitFR.deltaj,33,0,2,0,2
SpeedLimit.deltaj,209,12,8,0,20
GreaterZoom.deltaj,8,0,2,0,2
SpeedlimitDE.deltaj,67,3,3,0,6
BusStopsNearby.deltaj,155,30,2,0,32
TravelTime.deltaj,66,8,6,0,14
